,Name,Symbol,Currency,ISIN,Sector,ICB Code,Fact Sheet
119,Roblon B,RBLN B,DKK,DK0060485019,Industrials,2700,
120,Rias B,RIAS B,DKK,DK0010125848,Industrials,2700,
121,Rovsing,ROV,DKK,DK0061152170,Industrials,2700,
122,Salling Bank,SALB,DKK,DK0010017367,Financials,8300,
123,Sanistål,SANI,DKK,DK0010245661,Consumer Services,5300,
124,Scandinavian Brake Systems,SBS,DKK,DK0060042612,Consumer Goods,3300,
125,Small Cap Danmark,SCD,DKK,DK0010305077,Financials,8700,
126,Silkeborg IF Invest,SIF,DKK,DK0010128008,Consumer Services,5700,
127,Scandinavian Investment Group,SIG,DKK,DK0060038933,Industrials,2700,
128,SKAKO,SKAKO,DKK,DK0010231877,Industrials,2700,
129,Skjern Bank,SKJE,DKK,DK0010295922,Financials,8300,
130,Strategic Investments,STRINV,DKK,DK0010271238,Financials,8700,
131,TCM Group,TCM,DKK,DK0060915478,Consumer Goods,3700,
132,Totalbanken,TOTA,DKK,DK0060082758,Financials,8300,
133,Victoria Properties,VIPRO,DKK,DK0015216675,Financials,8600,
