,Name,Symbol,Currency,ISIN,Sector,ICB Code,CVR
75,Atlantic Petroleum,ATLA-DKK.CO,DKK,FO000A0DN9X4,Oil & Gas,0500,36850019
76,Brøndby IF,BIF.CO,DKK,DK0010247956,Consumer Services,5700,70854910
77,BioPorto,BIOPOR.CO,DKK,DK0011048619,Health Care,4500,17500317
78,Blue Vision A,BLVIS-A.CO,DKK,DK0061155009,Financials,8600,26791413
79,Boliga Gruppen,BOLIGA.CO,DKK,DK0060074656,Consumer Services,5500,25078780
80,F.E. Bording B,BORD-B.CO,DKK,DK0010008028,Industrials,2700,16229415
81,CBRAIN,CBRAIN.CO,DKK,DK0060030286,Technology,9500,24233359
82,Cemat,CEMAT.CO,DKK,DK0010271584,Financials,8600,24932818
83,Copenhagen Capital Præf,CPHCAP-PREF.CO,DKK,DK0060732980,Financials,8600,30731735
84,Copenhagen Capital Stam,CPHCAP-ST.CO,DKK,DK0060093607,Financials,8600,30731735
85,Danske Andelskassers Bank,DAB.CO,DKK,DK0060299063,Financials,8300,31843219
86,Dantax,DANT.CO,DKK,DK0015205637,Consumer Goods,3700,36591528
87,Den Jyske Sparekasse,DJS.CO,DKK,DK0060978476,Financials,8300,17616617
88,Djurslands Bank,DJUR.CO,DKK,DK0060136273,Financials,8300,40713816
89,EAC Invest,EAC.CO,DKK,DK0061277894,Industrials,2700,26041716
90,Fast Ejendom Danmark,FED.CO,DKK,DK0060522746,Financials,8600,28500971
91,FirstFarms,FFARMS.CO,DKK,DK0060056166,Consumer Goods,3500,28312504
92,Flügger group B,FLUG-B.CO,DKK,DK0010218189,Industrials,2300,32788718
93,Fynske Bank,FYNBK.CO,DKK,DK0060520377,Financials,8300,25802888
94,Gabriel Holding,GABR.CO,DKK,DK0060124691,Consumer Goods,3700,58868728
95,German High Street Properties,GERHSP.CO,DKK,DK0060093524,Financials,8600,30691644
96,Glunz & Jensen Holding,GJ.CO,DKK,DK0010249309,Industrials,2700,10239680
97,Grønlandsbanken,GRLA.CO,DKK,DK0010230630,Financials,8300,80050410
98,Gyldendal A,GYLD-A.CO,DKK,DK0010247527,Consumer Services,5500,58200115
99,Gyldendal B,GYLD-B.CO,DKK,DK0010247600,Consumer Services,5500,58200115
100,Harboes Bryggeri B,HARB-B.CO,DKK,DK0060014751,Consumer Goods,3500,43910515
101,Hvidbjerg Bank,HVID.CO,DKK,DK0060135978,Financials,8300,64855417
102,InterMail,IMAIL.CO,DKK,DK0010212224,Industrials,2700,42578118
103,Brd. Klee B,KLEE-B.CO,DKK,DK0010129089,Industrials,2700,46874412
104,Kreditbanken,KRE.CO,DKK,DK0010253764,Financials,8300,16339016
105,Lollands Bank,LOLB.CO,DKK,DK0060000107,Financials,8300,36684828
106,Luxor B,LUXOR-B.CO,DKK,DK0010213628,Financials,8700,49639910
107,Migatronic B,MIGA-B.CO,DKK,DK0010225127,Industrials,2700,34485216
108,Møns Bank,MNBA.CO,DKK,DK0060133841,Financials,8300,65746018
109,MT Højgaard Holding,MTHH.CO,DKK,DK0010255975,Industrials,2300,16888419
110,Newcap Holding,NEWCAP.CO,DKK,DK0010212570,Financials,8700,13255342
111,Nordic Shipholding,NORDIC.CO,DKK,DK0060083996,Oil & Gas,0500,76351716
112,North Media,NORTHM.CO,DKK,DK0010270347,Consumer Services,5500,66590119
113,Nordfyns Bank,NRDF.CO,DKK,DK0010015072,Financials,8300,64865218
114,NTR Holding B,NTR-B.CO,DKK,DK0010027671,Industrials,2700,62670215
115,Onxeo,ONXEO.CO,DKK,FR0010095596,Health Care,4500,24246787
116,PARKEN Sport & Entertainment,PARKEN.CO,DKK,DK0010237643,Consumer Services,5700,15107707
117,Prime Office,PRIMOF.CO,DKK,DK0060137594,Financials,8600,30558642
118,Park Street Nordicom A,PSNRDC-A.CO,DKK,DK0010158500,Financials,8600,12932502
119,Roblon B,RBLN-B.CO,DKK,DK0060485019,Industrials,2700,57068515
120,Rias B,RIAS-B.CO,DKK,DK0010125848,Industrials,2700,44065118
121,Rovsing,ROV.CO,DKK,DK0061152170,Industrials,2700,16139084
122,Salling Bank,SALB.CO,DKK,DK0010017367,Financials,8300,37760412
123,Sanistål,SANI.CO,DKK,DK0010245661,Consumer Services,5300,42997811
124,Scandinavian Brake Systems,SBS.CO,DKK,DK0060042612,Consumer Goods,3300,32774210
125,Small Cap Danmark,SCD.CO,DKK,DK0010305077,Financials,8700,39703416
126,Silkeborg IF Invest,SIF.CO,DKK,DK0010128008,Consumer Services,5700,70854910
127,Scandinavian Investment Group,SIG.CO,DKK,DK0060038933,Industrials,2700,34411913
128,SKAKO,SKAKO.CO,DKK,DK0010231877,Industrials,2700,36440414
129,Skjern Bank,SKJE.CO,DKK,DK0010295922,Financials,8300,45801012
130,Strategic Investments,STRINV.CO,DKK,DK0010271238,Financials,8700,71064719
131,TCM Group,TCM.CO,DKK,DK0060915478,Consumer Goods,3700,37291269
132,Totalbanken,TOTA.CO,DKK,DK0060082758,Financials,8300,10349818
133,Victoria Properties,VIPRO.CO,DKK,DK0015216675,Financials,8600,55660018
